Time (s),Location - X (cm),Location - Y (cm),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s),Accelerometer - Total (g),Accelerometer - X (g),Accelerometer - Y (g),Accelerometer - Z (g),Velocity - Total (cm/s),Velocity - X (cm/s),Velocity - Y (cm/s),Distance - Total (cm),Distance - X (cm),Distance - Y (cm)
0.00,0.00,0.00,-3.00,-4.00,0.00,0.0,0.0,0.0,1.02,-0.11,0.10,1.01,0.00,0.00,0.00,0.00,0.00,0.00
0.15,0.00,0.00,-3.00,-4.00,0.00,0.0,0.0,0.0,1.02,-0.11,0.10,1.01,0.00,0.00,0.00,0.00,0.00,0.00
0.30,0.00,2.00,11.00,-4.00,0.00,-408.0,0.2,-33.3,0.74,-0.32,-0.27,0.61,56.30,0.00,56.30,2.00,0.00,2.00
0.45,0.00,10.00,56.00,-2.00,0.00,11.8,-2.1,12.5,0.72,0.11,-0.44,0.56,25.60,0.50,25.60,10.00,0.00,10.00
0.60,0.00,15.00,38.00,-3.00,0.00,173.2,-0.7,-5.1,0.94,-0.46,-0.18,0.80,61.80,-0.30,61.80,15.00,0.00,15.00
0.75,0.00,29.00,40.00,-2.00,0.00,-35.1,6.4,0.4,0.33,0.17,-0.25,-0.12,106.90,-1.00,106.90,29.00,0.00,29.00
0.90,0.00,45.00,35.00,-3.00,1.00,252.9,-3.6,2.9,1.17,0.31,0.09,1.12,99.14,-2.70,99.10,45.00,0.00,45.00
1.07,0.00,63.00,21.00,-4.00,1.00,46.3,-13.8,7.2,1.30,-0.88,-0.93,0.20,121.42,-2.10,121.40,63.00,0.00,63.00
1.20,0.00,81.00,13.00,-4.00,1.00,0.2,-16.2,-10.9,2.37,-0.78,-0.66,2.14,134.22,-2.30,134.20,81.00,0.00,81.00
1.35,0.00,100.00,4.00,-1.00,0.00,58.3,-10.3,0.5,0.54,-0.23,0.48,-0.05,127.90,-0.10,127.90,100.00,0.00,100.00
1.50,0.00,119.00,0.00,-1.00,0.00,-21.7,32.1,12.5,1.35,0.97,0.00,0.94,133.43,-3.00,133.40,119.00,0.00,119.00
1.65,0.00,139.00,0.00,-2.00,1.00,24.5,-7.4,-2.7,1.68,-1.31,0.13,1.05,133.41,-1.20,133.40,139.00,0.00,139.00
1.80,0.00,159.00,0.00,0.00,0.00,5.0,-21.3,0.0,0.60,0.55,-0.18,0.17,136.91,1.60,136.90,159.00,0.00,159.00
1.95,-1.00,179.00,2.00,-4.00,1.00,-63.3,16.9,14.2,0.87,-0.24,0.12,0.83,132.13,-2.70,132.10,179.02,1.00,179.00
2.10,-1.00,199.00,2.00,-2.00,1.00,-2.4,-15.7,-10.2,0.79,0.51,0.41,-0.45,134.50,-1.00,134.50,199.02,1.00,199.00
2.25,-1.00,218.00,3.00,0.00,0.00,70.9,-1.3,-6.3,0.52,-0.42,0.15,0.28,128.41,1.20,128.40,218.02,1.00,218.00
2.40,-1.00,238.00,1.00,-3.00,0.00,123.3,-9.7,8.2,0.51,-0.38,0.31,0.15,119.50,-0.20,119.50,238.02,1.00,238.00
2.55,-1.00,258.00,1.00,-1.00,0.00,-82.9,-27.9,-18.5,0.38,-0.34,-0.15,0.06,138.01,1.60,138.00,258.02,1.00,258.00
2.70,-1.00,277.00,1.00,0.00,0.00,55.9,3.5,-4.5,0.81,0.23,0.53,0.58,127.92,2.20,127.90,277.02,1.00,277.00
2.83,-1.00,297.00,1.00,-5.00,0.00,23.9,45.7,24.6,1.82,-0.46,0.14,1.76,129.24,-3.20,129.20,297.02,1.00,297.00
2.98,-1.00,316.00,0.00,-5.00,1.00,30.6,-32.8,11.9,1.60,0.09,0.48,1.53,124.40,-0.40,124.40,316.02,1.00,316.00
3.15,-1.00,336.00,0.00,-4.00,0.00,-31.1,-14.8,-10.4,1.01,0.06,0.23,0.99,139.00,0.00,139.00,336.02,1.00,336.00
3.28,-1.00,356.00,-2.00,-1.00,0.00,10.6,10.4,-1.5,1.70,-0.33,-0.13,1.66,135.60,0.90,135.60,356.02,1.00,356.00
